1=a, an indefinite article
314=behaviour (BrE) (NAmE behavior) n.
315=behind prep., adv.
316=belief n.
317=believe v.
318=bell n.
319=belong v.
320=below prep., adv.
321=belt n.
322=bend v., n.
323=bent adj.
324=beneath prep., adv.
325=benefit n., v.
326=beside prep.
327=bet v., n.
328=betting n.
329=better, best > good, well
330=between prep., adv.
331=beyond prep., adv.
332=bicycle (also bike) n.
333=bid v., n.
334=big adj.
335=bill n.
336=bin n. (BrE)
337=biology n.
338=bird n.
339=birth n.
340=give birth (to)
341=birthday n.
342=biscuit n. (BrE)
343=bit n. (especially BrE)
344=a bit
345=bite v., n.
346=bitter adj.
347=bitterly adv.
348=black adj., n.
349=blade n.
350=blame v., n.
351=blank adj., n.
352=blankly adv.
353=blind adj.
354=block n., v.
355=blonde adj., n., blond adj.
356=blood n.
357=blow v., n.
358=blue adj., n.
359=board n., v.
360=on board
361=boat n.
362=body n.
363=boil v.
364=bomb n., v.
365=bone n.
366=book n., v.
367=boot n.
368=border n.
369=bore v.
370=boring adj.
371=bored adj.
372=born: be born v.
373=borrow v.
374=boss n.
375=both det., pron.
376=bother v.
377=bottle n.
378=bottom n., adj.
379=bound adj.: bound to
380=bowl n.
381=box n.
382=boy n.
383=boyfriend n.
384=brain n.
385=branch n.
386=brand n.
387=brave adj.
388=bread n.
389=break v., n.
390=broken adj.
391=breakfast n.
392=breast n.
393=breath n.
394=breathe v.
395=breathing n.
396=breed v., n.
397=brick n.
398=bridge n.
399=brief adj.
400=briefly adv.
401=bright adj.
402=brightly adv.
403=brilliant adj.
404=bring v.
405=broad adj.
406=broadly adv.
407=broadcast v., n.
408=broken > break
409=brother n.
410=brown adj., n.
411=brush n., v.
412=bubble n.
413=budget n.
414=build v.
415=building n.
416=bullet n.
417=bunch n.
418=burn v.
419=burnt adj.
420=burst v.
421=bury v.
422=bus n.
423=bush n.
424=business n.
425=businessman, businesswoman n.
426=busy adj.
427=but conj.
428=butter n.
429=button n.
430=buy v.
431=buyer n.
432=by prep., adv.
433=bye exclamation
434=c abbr. > cent
435=cabinet n.
436=cable n.
437=cake n.
438=calculate v.
439=calculation n.
440=call v., n.
441=be called
442=calm adj., v., n.
443=calmly adv.
444=camera n.
445=camp n., v.
446=camping n.
447=campaign n.
448=can modal v., n.
449=cannot
450=could modal v.
451=cancel v.
452=cancer n.
453=candidate n.
454=candy n. (NAmE)
455=cap n.
456=capable (of) adj.
457=capacity n.
458=capital n., adj.
459=captain n.
460=capture v., n.
461=car n.
462=card n.
463=cardboard n.
464=care n., v.
465=take care (of)
466=care for
467=career n.
468=careful adj.
469=carefully adv.
470=careless adj.
471=carelessly adv.
472=carpet n.
473=carrot n.
474=carry v.
475=case n.
476=in case (of)
477=cash n.
478=cast v., n.
479=castle n.
480=cat n.
481=catch v.
482=category n.
483=cause n., v.
484=CD n.
485=cease v.
486=ceiling n.
487=celebrate v.
488=celebration n.
489=cell n.
490=cellphone (also cellular phone) n. (especially NAmE)
491=cent n. (abbr. c, ct)
492=centimetre (BrE) (NAmE centimeter) n. (abbr. cm)
493=central adj.
